0 32 64 44.57066
0 32 60 42.11581
0 32 56 37.89768
0 32 52 36.52507
0 32 48 33.61869
0 32 44 35.233050000000006
0 32 40 27.46646
0 32 36 25.410919999999997
0 32 32 23.93807
0 32 28 21.493309999999997
0 32 24 19.62857
0 32 20 17.71959
0 32 16 17.16198
0 32 12 14.91706
0 32 8 10.57017
0 32 4 8.8
0 31 64 43.29483
0 31 60 45.04238
0 31 56 37.66013
0 31 52 40.15316
0 31 48 34.80131
0 31 44 33.57007
0 31 40 27.684220000000003
0 31 36 29.159930000000003
0 31 32 22.94534
0 31 28 23.14045
0 31 24 19.498459999999998
0 31 20 20.42214
0 31 16 16.82707
0 31 12 13.726230000000001
0 31 8 12.22624
0 31 4 8.94326
0 30 64 42.1421
0 30 60 40.53702
0 30 56 38.11302
0 30 52 36.33492
0 30 48 31.19892
0 30 44 32.01888
0 30 40 26.86689
0 30 36 26.27971
0 30 32 23.12739
0 30 28 21.50387
0 30 24 20.86944
0 30 20 17.933860000000003
0 30 16 14.707189999999999
0 30 12 12.88966
0 30 8 10.49915
0 30 4 8.804929999999999
0 29 64 40.35887
0 29 60 44.0023
0 29 56 38.82859
0 29 52 37.51142
0 29 48 30.8649
0 29 44 32.6456
0 29 40 26.22227
0 29 36 26.318209999999997
0 29 32 23.67111
0 29 28 25.74884
0 29 24 18.65638
0 29 20 18.204970000000003
0 29 16 16.51734
0 29 12 13.384150000000002
0 29 8 10.364650000000001
0 29 4 8.76034
0 28 64 39.87801
0 28 60 38.62166
0 28 56 33.58432
0 28 52 33.79312
0 28 48 29.762529999999998
0 28 44 26.935000000000002
0 28 40 24.60029
0 28 36 25.455419999999997
0 28 32 23.32628
0 28 28 20.1759
0 28 24 20.12163
0 28 20 16.60828
0 28 16 14.5778
0 28 12 12.38663
0 28 8 10.13908
0 28 4 10.51071
0 27 64 36.41742
0 27 60 39.4793
0 27 56 34.57644
0 27 52 34.03375
0 27 48 30.01961
0 27 44 28.813470000000002
0 27 40 28.17709
0 27 36 24.82179
0 27 32 20.8625
0 27 28 21.05633
0 27 24 20.47917
0 27 20 17.23321
0 27 16 14.081029999999998
0 27 12 12.92719
0 27 8 10.087359999999999
0 27 4 8.81853
0 26 64 36.68822
0 26 60 36.51231
0 26 56 31.893
0 26 52 30.603430000000003
0 26 48 26.966499999999996
0 26 44 26.067490000000003
0 26 40 24.84013
0 26 36 22.96308
0 26 32 23.843200000000003
0 26 28 20.91523
0 26 24 17.51268
0 26 20 16.740129999999997
0 26 16 13.505139999999999
0 26 12 12.026069999999999
0 26 8 9.98972
0 26 4 10.44049
0 25 64 36.50391
0 25 60 36.08517
0 25 56 35.33878
0 25 52 33.87581
0 25 48 27.00233
0 25 44 27.417630000000003
0 25 40 23.70529
0 25 36 25.1849
0 25 32 21.94019
0 25 28 19.87353
0 25 24 19.89802
0 25 20 15.90269
0 25 16 13.44173
0 25 12 12.4155
0 25 8 11.621300000000002
0 25 4 10.35712
0 24 64 33.60149
0 24 60 31.26377
0 24 56 29.903869999999998
0 24 52 26.910649999999997
0 24 48 27.24764
0 24 44 23.86167
0 24 40 23.25997
0 24 36 20.75531
0 24 32 21.49697
0 24 28 19.88787
0 24 24 16.64135
0 24 20 16.39869
0 24 16 13.08828
0 24 12 11.58623
0 24 8 9.78705
0 24 4 10.10047
0 23 64 34.536339999999996
0 23 60 34.47357
0 23 56 31.38758
0 23 52 29.680329999999998
0 23 48 25.911720000000003
0 23 44 25.444540000000003
0 23 40 22.81825
0 23 36 24.2474
0 23 32 18.791330000000002
0 23 28 22.17862
0 23 24 16.97308
0 23 20 15.7482
0 23 16 12.806740000000001
0 23 12 11.84065
0 23 8 11.40321
0 23 4 8.52547
0 22 64 37.15888
0 22 60 30.613989999999998
0 22 56 28.755789999999998
0 22 52 26.13945
0 22 48 25.11578
0 22 44 23.79149
0 22 40 21.567639999999997
0 22 36 21.04864
0 22 32 18.7111
0 22 28 19.692030000000003
0 22 24 15.95286
0 22 20 14.288640000000001
0 22 16 12.554179999999999
0 22 12 11.22128
0 22 8 9.5504
0 22 4 8.38435
0 21 64 31.65376
0 21 60 32.17543
0 21 56 27.156640000000003
0 21 52 27.515810000000002
0 21 48 23.623260000000002
0 21 44 24.30524
0 21 40 21.75231
0 21 36 22.80896
0 21 32 19.85968
0 21 28 18.779880000000002
0 21 24 16.17607
0 21 20 16.60048
0 21 16 12.31817
0 21 12 11.08119
0 21 8 9.56279
0 21 4 9.96815
0 20 64 29.47638
0 20 60 27.054389999999998
0 20 56 26.306200000000004
0 20 52 24.879269999999998
0 20 48 23.17645
0 20 44 21.52697
0 20 40 22.10947
0 20 36 21.15475
0 20 32 17.83955
0 20 28 18.430790000000002
0 20 24 14.72745
0 20 20 13.513349999999999
0 20 16 11.78435
0 20 12 10.49958
0 20 8 11.15398
0 20 4 8.24589
0 19 64 28.69871
0 19 60 28.491839999999996
0 19 56 25.830370000000002
0 19 52 25.348
0 19 48 22.17344
0 19 44 25.25331
0 19 40 19.57891
0 19 36 19.52503
0 19 32 17.387520000000002
0 19 28 17.46908
0 19 24 15.045280000000002
0 19 20 13.700930000000001
0 19 16 13.818850000000001
0 19 12 12.40954
0 19 8 9.40704
0 19 4 8.41805
0 18 64 27.13707
0 18 60 26.46195
0 18 56 23.708319999999997
0 18 52 23.40359
0 18 48 22.59696
0 18 44 22.67286
0 18 40 19.31081
0 18 36 20.4193
0 18 32 16.7362
0 18 28 16.236060000000002
0 18 24 14.332170000000001
0 18 20 14.93726
0 18 16 13.28097
0 18 12 10.28733
0 18 8 11.28698
0 18 4 8.4335
0 17 64 25.713250000000002
0 17 60 26.15555
0 17 56 23.28736
0 17 52 25.244790000000002
0 17 48 21.182789999999997
0 17 44 22.41024
0 17 40 19.0726
0 17 36 18.98781
0 17 32 16.052950000000003
0 17 28 15.738140000000001
0 17 24 15.43206
0 17 20 13.16991
0 17 16 11.22535
0 17 12 10.29651
0 17 8 10.86813
0 17 4 8.27501
0 16 64 24.04413
0 16 60 23.12585
0 16 56 21.5537
0 16 52 22.25599
0 16 48 19.92359
0 16 44 20.519750000000002
0 16 40 17.74717
0 16 36 16.89088
0 16 32 15.57757
0 16 28 14.55824
0 16 24 13.16058
0 16 20 11.6775
0 16 16 12.3729
0 16 12 11.626169999999998
0 16 8 8.86176
0 16 4 8.052579999999999
0 15 64 23.32804
0 15 60 23.469859999999997
0 15 56 21.635080000000002
0 15 52 23.690949999999997
0 15 48 20.95718
0 15 44 20.48057
0 15 40 18.22611
0 15 36 18.916580000000003
0 15 32 14.69373
0 15 28 14.88845
0 15 24 12.94144
0 15 20 14.26973
0 15 16 12.06567
0 15 12 9.95561
0 15 8 10.51578
0 15 4 8.02948
0 14 64 21.59037
0 14 60 21.73696
0 14 56 21.934240000000003
0 14 52 21.06006
0 14 48 18.22214
0 14 44 19.62441
0 14 40 16.64781
0 14 36 16.014400000000002
0 14 32 14.60736
0 14 28 13.55351
0 14 24 14.302019999999999
0 14 20 11.75911
0 14 16 10.145119999999999
0 14 12 9.71607
0 14 8 8.774270000000001
0 14 4 7.8668499999999995
0 13 64 22.27189
0 13 60 23.52454
0 13 56 20.91594
0 13 52 20.311970000000002
0 13 48 17.87846
0 13 44 17.94307
0 13 40 16.72118
0 13 36 15.417070000000002
0 13 32 15.0921
0 13 28 15.114329999999999
0 13 24 11.98361
0 13 20 11.67687
0 13 16 11.61568
0 13 12 9.546980000000001
0 13 8 8.51824
0 13 4 7.94566
0 12 64 21.50214
0 12 60 20.7689
0 12 56 18.144190000000002
0 12 52 19.0311
0 12 48 16.5362
0 12 44 15.78208
0 12 40 14.60569
0 12 36 15.79634
0 12 32 14.78515
0 12 28 12.30573
0 12 24 13.164290000000001
0 12 20 10.48724
0 12 16 9.73818
0 12 12 9.14519
0 12 8 8.34915
0 12 4 9.49296
0 11 64 18.80525
0 11 60 22.19041
0 11 56 17.69533
0 11 52 17.90364
0 11 48 15.82042
0 11 44 15.636989999999999
0 11 40 15.89473
0 11 36 13.97094
0 11 32 12.28292
0 11 28 12.48381
0 11 24 13.04847
0 11 20 10.46415
0 11 16 9.52291
0 11 12 9.185279999999999
0 11 8 8.39572
0 11 4 7.89616
0 10 64 17.707839999999997
0 10 60 19.631619999999998
0 10 56 16.54765
0 10 52 16.68912
0 10 48 14.6511
0 10 44 14.235230000000001
0 10 40 13.466919999999998
0 10 36 12.7814
0 10 32 13.36272
0 10 28 13.215710000000001
0 10 24 10.43606
0 10 20 10.120470000000001
0 10 16 9.28999
0 10 12 8.85021
0 10 8 8.21104
0 10 4 9.58446
0 9 64 18.19866
0 9 60 17.100830000000002
0 9 56 15.989889999999999
0 9 52 17.16509
0 9 48 14.08631
0 9 44 14.040790000000001
0 9 40 12.90167
0 9 36 14.55187
0 9 32 13.21385
0 9 28 11.05226
0 9 24 11.819490000000002
0 9 20 9.98547
0 9 16 9.264289999999999
0 9 12 8.901340000000001
0 9 8 9.93168
0 9 4 9.45159
0 8 64 15.34581
0 8 60 14.54749
0 8 56 14.486910000000002
0 8 52 13.49167
0 8 48 14.81427
0 8 44 12.40983
0 8 40 11.65053
0 8 36 11.51225
0 8 32 12.327300000000001
0 8 28 11.811810000000001
0 8 24 9.7327
0 8 20 11.026410000000002
0 8 16 8.93087
0 8 12 8.39516
0 8 8 8.095009999999998
0 8 4 9.66262
0 7 64 16.18031
0 7 60 14.827869999999999
0 7 56 15.13214
0 7 52 13.260290000000001
0 7 48 12.287590000000002
0 7 44 12.50631
0 7 40 11.40586
0 7 36 12.700319999999998
0 7 32 10.080869999999999
0 7 28 11.98365
0 7 24 9.60548
0 7 20 9.36119
0 7 16 8.62038
0 7 12 8.3483
0 7 8 9.60417
0 7 4 7.8614
0 6 64 13.12509
0 6 60 12.87827
0 6 56 13.960449999999998
0 6 52 12.05862
0 6 48 11.54785
